name,description,notes
yolo11n,Nano detection - edge devices and real-time on weak hardware,"{""params"":""2.6M"",""flops"":""6.5B"",""map"":39.5,""speed_gpu_ms"":1.5,""speed_cpu_ms"":56,""task"":""detection"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11s,Small detection - mobile apps and fast prototyping,"{""params"":""9.4M"",""flops"":""21.5B"",""map"":47.0,""speed_gpu_ms"":2.5,""speed_cpu_ms"":90,""task"":""detection"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11m,Medium detection - production workloads and balanced performance,"{""params"":""20.1M"",""flops"":""68.0B"",""map"":51.5,""speed_gpu_ms"":4.7,""speed_cpu_ms"":183,""task"":""detection"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11l,Large detection - high accuracy applications with GPU available,"{""params"":""25.3M"",""flops"":""86.9B"",""map"":53.4,""speed_gpu_ms"":6.2,""speed_cpu_ms"":239,""task"":""detection"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11x,Extra large detection - maximum accuracy for benchmarking,"{""params"":""56.9M"",""flops"":""194.9B"",""map"":54.7,""speed_gpu_ms"":11.3,""speed_cpu_ms"":463,""task"":""detection"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11n-seg,Nano segmentation - pixel masks on edge devices,"{""params"":""2.9M"",""flops"":""9.7B"",""map_box"":38.9,""map_mask"":32.0,""speed_gpu_ms"":1.8,""task"":""segmentation"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11s-seg,Small segmentation - mobile instance segmentation,"{""params"":""10.1M"",""flops"":""33.0B"",""map_box"":46.6,""map_mask"":37.8,""speed_gpu_ms"":2.9,""task"":""segmentation"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11m-seg,Medium segmentation - production instance segmentation,"{""params"":""22.4M"",""flops"":""113.2B"",""map_box"":51.5,""map_mask"":41.5,""speed_gpu_ms"":6.3,""task"":""segmentation"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11l-seg,Large segmentation - high accuracy pixel-level detection,"{""params"":""27.6M"",""flops"":""132.2B"",""map_box"":53.4,""map_mask"":42.9,""speed_gpu_ms"":7.8,""task"":""segmentation"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11x-seg,Extra large segmentation - maximum segmentation accuracy,"{""params"":""62.1M"",""flops"":""296.4B"",""map_box"":54.7,""map_mask"":43.8,""speed_gpu_ms"":15.8,""task"":""segmentation"",""classes"":80,""version"":""11"",""release"":""2024-09""}"
yolo11n-pose,Nano pose - keypoint detection on edge devices,"{""params"":""2.9M"",""flops"":""7.4B"",""map_pose"":50.0,""speed_gpu_ms"":1.7,""task"":""pose"",""keypoints"":17,""version"":""11"",""release"":""2024-09""}"
yolo11s-pose,Small pose - mobile pose estimation,"{""params"":""9.9M"",""flops"":""23.1B"",""map_pose"":58.9,""speed_gpu_ms"":2.6,""task"":""pose"",""keypoints"":17,""version"":""11"",""release"":""2024-09""}"
yolo11m-pose,Medium pose - production pose tracking,"{""params"":""20.9M"",""flops"":""71.4B"",""map_pose"":64.9,""speed_gpu_ms"":4.9,""task"":""pose"",""keypoints"":17,""version"":""11"",""release"":""2024-09""}"
yolo11l-pose,Large pose - high accuracy keypoint detection,"{""params"":""26.1M"",""flops"":""90.3B"",""map_pose"":66.1,""speed_gpu_ms"":6.4,""task"":""pose"",""keypoints"":17,""version"":""11"",""release"":""2024-09""}"
yolo11x-pose,Extra large pose - maximum pose estimation accuracy,"{""params"":""58.8M"",""flops"":""202.8B"",""map_pose"":69.5,""speed_gpu_ms"":12.1,""task"":""pose"",""keypoints"":17,""version"":""11"",""release"":""2024-09""}"
yolo11n-obb,Nano oriented bounding box - rotated objects on edge,"{""params"":""2.7M"",""flops"":""16.8B"",""map_test"":78.4,""speed_gpu_ms"":4.4,""task"":""obb"",""classes"":15,""version"":""11"",""release"":""2024-09""}"
yolo11s-obb,Small oriented bounding box - aerial imagery analysis,"{""params"":""9.7M"",""flops"":""57.1B"",""map_test"":79.5,""speed_gpu_ms"":5.1,""task"":""obb"",""classes"":15,""version"":""11"",""release"":""2024-09""}"
yolo11m-obb,Medium oriented bounding box - warehouse automation,"{""params"":""20.9M"",""flops"":""182.8B"",""map_test"":80.9,""speed_gpu_ms"":10.1,""task"":""obb"",""classes"":15,""version"":""11"",""release"":""2024-09""}"
yolo11l-obb,Large oriented bounding box - precision rotated detection,"{""params"":""26.1M"",""flops"":""231.2B"",""map_test"":81.0,""speed_gpu_ms"":13.5,""task"":""obb"",""classes"":15,""version"":""11"",""release"":""2024-09""}"
yolo11x-obb,Extra large oriented bounding box - max OBB accuracy,"{""params"":""58.8M"",""flops"":""519.1B"",""map_test"":81.3,""speed_gpu_ms"":28.6,""task"":""obb"",""classes"":15,""version"":""11"",""release"":""2024-09""}"
yolo11n-cls,Nano classification - image categorization on edge,"{""params"":""2.8M"",""flops"":""0.5B"",""top1"":70.0,""top5"":89.4,""speed_gpu_ms"":1.1,""task"":""classification"",""classes"":1000,""version"":""11"",""release"":""2024-09""}"
yolo11s-cls,Small classification - mobile image classification,"{""params"":""6.7M"",""flops"":""1.6B"",""top1"":75.4,""top5"":92.7,""speed_gpu_ms"":1.3,""task"":""classification"",""classes"":1000,""version"":""11"",""release"":""2024-09""}"
yolo11m-cls,Medium classification - production categorization,"{""params"":""11.6M"",""flops"":""4.9B"",""top1"":77.3,""top5"":93.9,""speed_gpu_ms"":2.0,""task"":""classification"",""classes"":1000,""version"":""11"",""release"":""2024-09""}"
yolo11l-cls,Large classification - high accuracy image labels,"{""params"":""14.1M"",""flops"":""6.2B"",""top1"":78.3,""top5"":94.3,""speed_gpu_ms"":2.8,""task"":""classification"",""classes"":1000,""version"":""11"",""release"":""2024-09""}"
yolo11x-cls,Extra large classification - maximum classification accuracy,"{""params"":""29.6M"",""flops"":""13.6B"",""top1"":79.5,""top5"":94.9,""speed_gpu_ms"":3.8,""task"":""classification"",""classes"":1000,""version"":""11"",""release"":""2024-09""}"
yolov8n,Nano detection - proven architecture for edge deployment,"{""params"":""3.2M"",""flops"":""8.7B"",""map"":37.3,""speed_gpu_ms"":1.6,""task"":""detection"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8s,Small detection - mature ecosystem and extensive tutorials,"{""params"":""11.2M"",""flops"":""28.6B"",""map"":44.9,""speed_gpu_ms"":2.8,""task"":""detection"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8m,Medium detection - widely deployed production standard,"{""params"":""25.9M"",""flops"":""78.9B"",""map"":50.2,""speed_gpu_ms"":5.1,""task"":""detection"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8l,Large detection - established high-accuracy baseline,"{""params"":""43.7M"",""flops"":""165.2B"",""map"":52.9,""speed_gpu_ms"":8.2,""task"":""detection"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8x,Extra large detection - benchmark reference model,"{""params"":""68.2M"",""flops"":""257.8B"",""map"":53.9,""speed_gpu_ms"":12.7,""task"":""detection"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8n-seg,Nano segmentation - proven segmentation for edge,"{""params"":""3.4M"",""flops"":""12.6B"",""map_box"":36.7,""map_mask"":30.5,""speed_gpu_ms"":2.0,""task"":""segmentation"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8s-seg,Small segmentation - widely adopted instance segmentation,"{""params"":""11.8M"",""flops"":""42.6B"",""map_box"":44.6,""map_mask"":36.8,""speed_gpu_ms"":3.4,""task"":""segmentation"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8m-seg,Medium segmentation - production segmentation standard,"{""params"":""27.3M"",""flops"":""110.2B"",""map_box"":49.9,""map_mask"":40.8,""speed_gpu_ms"":6.9,""task"":""segmentation"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8l-seg,Large segmentation - established segmentation accuracy,"{""params"":""46.0M"",""flops"":""220.5B"",""map_box"":52.3,""map_mask"":42.6,""speed_gpu_ms"":10.5,""task"":""segmentation"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8x-seg,Extra large segmentation - segmentation benchmark reference,"{""params"":""71.8M"",""flops"":""344.1B"",""map_box"":53.4,""map_mask"":43.4,""speed_gpu_ms"":15.8,""task"":""segmentation"",""classes"":80,""version"":""8"",""release"":""2023-01""}"
yolov8n-pose,Nano pose - proven pose for resource-constrained devices,"{""params"":""3.3M"",""flops"":""9.2B"",""map_pose"":50.4,""speed_gpu_ms"":1.8,""task"":""pose"",""keypoints"":17,""version"":""8"",""release"":""2023-01""}"
yolov8s-pose,Small pose - mature pose estimation baseline,"{""params"":""11.6M"",""flops"":""30.2B"",""map_pose"":60.0,""speed_gpu_ms"":3.0,""task"":""pose"",""keypoints"":17,""version"":""8"",""release"":""2023-01""}"
yolov8m-pose,Medium pose - widely deployed pose tracking,"{""params"":""26.4M"",""flops"":""81.0B"",""map_pose"":65.0,""speed_gpu_ms"":6.0,""task"":""pose"",""keypoints"":17,""version"":""8"",""release"":""2023-01""}"
yolov8l-pose,Large pose - established pose accuracy baseline,"{""params"":""44.4M"",""flops"":""168.6B"",""map_pose"":67.6,""speed_gpu_ms"":9.2,""task"":""pose"",""keypoints"":17,""version"":""8"",""release"":""2023-01""}"
yolov8x-pose,Extra large pose - pose estimation benchmark,"{""params"":""69.4M"",""flops"":""263.2B"",""map_pose"":69.2,""speed_gpu_ms"":14.3,""task"":""pose"",""keypoints"":17,""version"":""8"",""release"":""2023-01""}"
yolo26n,Nano detection - NMS-free edge optimized architecture,"{""params"":""2.4M"",""flops"":""5.4B"",""map"":40.9,""speed_gpu_ms"":1.7,""speed_cpu_ms"":38.9,""task"":""detection"",""classes"":80,""version"":""26"",""release"":""2025-01""}"
yolo26s,Small detection - bleeding edge small model,"{""params"":""10.1M"",""flops"":""22.8B"",""map"":48.6,""speed_gpu_ms"":2.6,""speed_cpu_ms"":87.2,""task"":""detection"",""classes"":80,""version"":""26"",""release"":""2025-01""}"
yolo26m,Medium detection - latest generation balanced model,"{""params"":""26.8M"",""flops"":""75.8B"",""map"":55.6,""speed_gpu_ms"":4.7,""task"":""detection"",""classes"":80,""version"":""26"",""release"":""2025-01""}"
yolov5nu,YOLOv5 Nano-U - ultralytics variant for legacy support,"{""params"":""2.5M"",""flops"":""7.7B"",""map"":34.0,""task"":""detection"",""classes"":80,""version"":""5"",""release"":""2020-06""}"
yolov5su,YOLOv5 Small-U - mature legacy small model,"{""params"":""9.1M"",""flops"":""24.0B"",""map"":43.0,""task"":""detection"",""classes"":80,""version"":""5"",""release"":""2020-06""}"
yolov5mu,YOLOv5 Medium-U - legacy production workhorse,"{""params"":""21.2M"",""flops"":""64.2B"",""map"":45.4,""task"":""detection"",""classes"":80,""version"":""5"",""release"":""2020-06""}"
yolov5lu,YOLOv5 Large-U - legacy high accuracy standard,"{""params"":""46.5M"",""flops"":""135.0B"",""map"":49.0,""task"":""detection"",""classes"":80,""version"":""5"",""release"":""2020-06""}"
yolov5xu,YOLOv5 XLarge-U - legacy maximum accuracy,"{""params"":""86.7M"",""flops"":""218.8B"",""map"":50.7,""task"":""detection"",""classes"":80,""version"":""5"",""release"":""2020-06""}"
